
line_code,station_order,station_name,is_interchange
RL,1,Rithala,0
RL,2,Rohini West,0
RL,3,Rohini East,0
RL,4,Pitampura,0
RL,5,Kohat Enclave,0
RL,6,Netaji Subhash Place,1
RL,7,Keshav Puram,0
RL,8,Kanhaiya Nagar,0
RL,9,Inderlok,1
RL,10,Shastri Nagar,0
RL,11,Pratap Nagar,0
RL,12,Pul Bangash,0
RL,13,Tis Hazari,0
RL,14,Kashmere Gate,1
RL,15,Shastri Park,0
RL,16,Seelampur,0
RL,17,Welcome,1
RL,18,Shahdara,0
RL,19,Mansarovar Park,0
RL,20,Jhilmil,0
RL,21,Dilshad Garden,0
RL,22,Shaheed Sthal,0

YL,1,Samaypur Badli,0
YL,2,Rohini Sector 18,19,20,0
YL,3,Haiderpur Badli Mor,0
YL,4,Jahangirpuri,0
YL,5,Adarsh Nagar,0
YL,6,Azadpur,1
YL,7,Model Town,0
YL,8,Guru Tegh Bahadur Nagar,0
YL,9,Vishwa Vidyalaya,0
YL,10,Vidhan Sabha,0
YL,11,Civil Lines,0
YL,12,Kashmere Gate,1
YL,13,Chandni Chowk,0
YL,14,Chawri Bazar,0
YL,15,New Delhi,1
YL,16,Rajiv Chowk,1
YL,17,Patel Chowk,0
YL,18,Central Secretariat,1
YL,19,Udyog Bhawan,0
YL,20,Lok Kalyan Marg,0
YL,21,Jor Bagh,0
YL,22,INA,1
YL,23,AIIMS,0
YL,24,Green Park,0
YL,25,Hauz Khas,1
YL,26,Malviya Nagar,0
YL,27,Saket,0
YL,28,Qutab Minar,0
YL,29,Chhatarpur,0
YL,30,Sultanpur,0
YL,31,Ghitorni,0
YL,32,Arjan Garh,0
YL,33,Guru Dronacharya,0
YL,34,Sikandarpur,1
YL,35,MG Road,0
YL,36,IFFCO Chowk,0
YL,37,HUDA City Centre,0

BL,1,Dwarka Sec - 21,1
BL,2,Dwarka Sector 8,0
BL,3,Dwarka Sector 9,0
BL,4,Dwarka Sector 10,0
BL,5,Dwarka Sector 11,0
BL,6,Dwarka Sector 12,0
BL,7,Dwarka Sector 13,0
BL,8,Dwarka Sector 14,0
BL,9,Dwarka,0
BL,10,Dwarka Mor,0
BL,11,Nawada,0
BL,12,Uttam Nagar West,0
BL,13,Uttam Nagar East,0
BL,14,Janakpuri West,1
BL,15,Janakpuri East,0
BL,16,Tilak Nagar,0
BL,17,Subhash Nagar,0
BL,18,Tagore Garden,0
BL,19,Rajouri Garden,1
BL,20,Ramesh Nagar,0
BL,21,Moti Nagar,0
BL,22,Kirti Nagar,1
BL,23,Shadipur,0
BL,24,Patel Nagar,0
BL,25,Rajendra Place,0
BL,26,Karol Bagh,0
BL,27,Jhandewalan,0
BL,28,R K Ashram Marg,0
BL,29,Rajiv Chowk,1
BL,30,Barakhamba Road,0
BL,31,Mandi House,1
BL,32,Pragati Maidan,0
BL,33,Indraprastha,0
BL,34,Yamuna Bank,1
BL,35,Akshardham,0
BL,36,Mayur Vihar Phase-1,0
BL,37,Mayur Vihar Extension,1
BL,38,New Ashok Nagar,0
BL,39,Noida Sector 15,0
BL,40,Noida Sector 16,0
